TICKER,SMTH,DATE,TIME,OPEN,HIGH,LOW,CLOSE,AMOUNT,VOL
TAURONPE,0,20200901,090001,2.5260,2.5260,2.5260,2.5260,8561,0
TAURONPE,0,20200901,090011,2.5260,2.5260,2.5260,2.5260,2455,0
TAURONPE,0,20200901,090051,2.5200,2.5200,2.5100,2.5100,3025,0
TAURONPE,0,20200901,090101,2.5200,2.5200,2.5200,2.5200,600,0
TAURONPE,0,20200901,090404,2.5060,2.5060,2.5060,2.5060,1157,0
TAURONPE,0,20200901,090412,2.5120,2.5120,2.5120,2.5120,1000,0
TAURONPE,0,20200901,090423,2.5120,2.5120,2.5100,2.5100,1000,0
TAURONPE,0,20200901,090434,2.5120,2.5120,2.5120,2.5120,1000,0
TAURONPE,0,20200901,090507,2.5120,2.5120,2.5120,2.5120,1000,0
TAURONPE,0,20200901,090608,2.5180,2.5180,2.5180,2.5180,2425,0
TAURONPE,0,20200901,090610,2.5180,2.5200,2.5180,2.5200,10861,0
TAURONPE,0,20200901,090612,2.5120,2.5120,2.5120,2.5120,2198,0
TAURONPE,0,20200901,090703,2.5180,2.5180,2.5180,2.5180,1877,0
TAURONPE,0,20200901,090936,2.5140,2.5140,2.5120,2.5120,2000,0
TAURONPE,0,20200901,090958,2.5160,2.5160,2.5120,2.5120,1525,0
TAURONPE,0,20200901,091050,2.5100,2.5100,2.5100,2.5100,10856,0
TAURONPE,0,20200901,091107,2.5100,2.5100,2.5100,2.5100,5000,0
TAURONPE,0,20200901,091110,2.5100,2.5100,2.5100,2.5100,6000,0
TAURONPE,0,20200901,091111,2.5100,2.5100,2.5100,2.5100,1927,0
TAURONPE,0,20200901,091123,2.5100,2.5100,2.5100,2.5100,8000,0
TAURONPE,0,20200901,091147,2.5100,2.5100,2.5100,2.5100,10041,0
TAURONPE,0,20200901,091210,2.5100,2.5100,2.5100,2.5100,1000,0
TAURONPE,0,20200901,091514,2.5180,2.5180,2.5180,2.5180,500,0
TAURONPE,0,20200901,091517,2.5100,2.5100,2.5100,2.5100,4600,0
TAURONPE,0,20200901,091549,2.5140,2.5140,2.5100,2.5100,5727,0
TAURONPE,0,20200901,091553,2.5100,2.5100,2.5100,2.5100,4191,0
TAURONPE,0,20200901,091559,2.5100,2.5100,2.5100,2.5100,5300,0
TAURONPE,0,20200901,091602,2.5100,2.5100,2.5100,2.5100,3227,0
TAURONPE,0,20200901,091630,2.5100,2.5100,2.5100,2.5100,255,0
TAURONPE,0,20200901,091638,2.5100,2.5100,2.5100,2.5100,8100,0
TAURONPE,0,20200901,091733,2.5100,2.5100,2.5100,2.5100,7000,0
TAURONPE,0,20200901,091734,2.5100,2.5100,2.5100,2.5100,12230,0
TAURONPE,0,20200901,091827,2.5100,2.5100,2.5100,2.5100,2000,0
TAURONPE,0,20200901,092055,2.5100,2.5100,2.5100,2.5100,1000,0
TAURONPE,0,20200901,092056,2.5100,2.5100,2.5100,2.5100,3741,0
TAURONPE,0,20200901,092131,2.5160,2.5200,2.5160,2.5180,21607,0
TAURONPE,0,20200901,092139,2.5160,2.5160,2.5160,2.5160,5000,0
TAURONPE,0,20200901,092303,2.5260,2.5260,2.5260,2.5260,1988,0
TAURONPE,0,20200901,092316,2.5160,2.5160,2.5160,2.5160,2500,0
TAURONPE,0,20200901,092325,2.5260,2.5260,2.5260,2.5260,1988,0
TAURONPE,0,20200901,092403,2.5260,2.5280,2.5260,2.5280,13457,0
TAURONPE,0,20200901,092652,2.5280,2.5300,2.5280,2.5300,3000,0
TAURONPE,0,20200901,092754,2.5240,2.5320,2.5240,2.5300,33856,0
TAURONPE,0,20200901,093307,2.5280,2.5280,2.5280,2.5280,200,0
TAURONPE,0,20200901,093400,2.5260,2.5260,2.5260,2.5260,8343,0
TAURONPE,0,20200901,093403,2.5220,2.5220,2.5220,2.5220,3948,0
TAURONPE,0,20200901,093516,2.5200,2.5200,2.5200,2.5200,875,0
TAURONPE,0,20200901,093712,2.5260,2.5260,2.5260,2.5260,100,0
TAURONPE,0,20200901,093723,2.5260,2.5260,2.5260,2.5260,1000,0
TAURONPE,0,20200901,093902,2.5200,2.5200,2.5200,2.5200,3000,0
TAURONPE,0,20200901,093954,2.5200,2.5200,2.5200,2.5200,650,0
TAURONPE,0,20200901,094007,2.5260,2.5260,2.5260,2.5260,221,0
TAURONPE,0,20200901,094051,2.5160,2.5160,2.5160,2.5160,1500,0
TAURONPE,0,20200901,094120,2.5260,2.5260,2.5260,2.5260,500,0
TAURONPE,0,20200901,094139,2.5260,2.5260,2.5260,2.5260,442,0
TAURONPE,0,20200901,094142,2.5260,2.5260,2.5260,2.5260,221,0
TAURONPE,0,20200901,094203,2.5260,2.5260,2.5260,2.5260,1988,0
TAURONPE,0,20200901,094323,2.5260,2.5260,2.5260,2.5260,221,0
TAURONPE,0,20200901,094407,2.5160,2.5160,2.5160,2.5160,4148,0
TAURONPE,0,20200901,094528,2.5260,2.5260,2.5260,2.5260,1000,0
TAURONPE,0,20200901,094549,2.5160,2.5160,2.5160,2.5160,3400,0
TAURONPE,0,20200901,094653,2.5260,2.5260,2.5260,2.5260,1546,0
TAURONPE,0,20200901,094716,2.5200,2.5200,2.5200,2.5200,2000,0
TAURONPE,0,20200901,094717,2.5200,2.5200,2.5200,2.5200,3704,0
TAURONPE,0,20200901,094959,2.5220,2.5220,2.5220,2.5220,600,0
TAURONPE,0,20200901,095003,2.5260,2.5260,2.5260,2.5260,1988,0
TAURONPE,0,20200901,095014,2.5220,2.5220,2.5220,2.5220,1919,0
TAURONPE,0,20200901,095108,2.5200,2.5200,2.5200,2.5200,4000,0
TAURONPE,0,20200901,095159,2.5160,2.5160,2.5100,2.5100,47550,0
TAURONPE,0,20200901,095201,2.5080,2.5080,2.5080,2.5080,700,0
TAURONPE,0,20200901,095203,2.5040,2.5040,2.5040,2.5040,2453,0
TAURONPE,0,20200901,095311,2.5060,2.5060,2.5060,2.5060,2000,0
TAURONPE,0,20200901,095333,2.5040,2.5040,2.5040,2.5040,600,0
TAURONPE,0,20200901,095357,2.5040,2.5040,2.5040,2.5040,4162,0
TAURONPE,0,20200901,095417,2.5020,2.5020,2.5020,2.5020,80,0
TAURONPE,0,20200901,095431,2.5020,2.5020,2.5000,2.5000,6578,0
TAURONPE,0,20200901,095433,2.4940,2.4940,2.4940,2.4940,3623,0
TAURONPE,0,20200901,095434,2.5000,2.5000,2.5000,2.5000,1000,0
